store_id,date,target_price
STORE_23,12/02/21,3.47
STORE_23,13/02/21,3.38
STORE_23,14/02/21,3.17
STORE_23,15/02/21,0
STORE_23,16/02/21,0
STORE_23,17/02/21,3.3
STORE_23,18/02/21,2.86
STORE_23,19/02/21,0
STORE_23,20/02/21,2.81
STORE_23,21/02/21,3.16
STORE_23,22/02/21,3.29
STORE_23,23/02/21,0
STORE_23,24/02/21,2.76
STORE_23,25/02/21,2.5
STORE_23,26/02/21,3.07
STORE_24,01/01/21,2.5
STORE_24,02/01/21,2.89
STORE_24,03/01/21,3.16
STORE_24,04/01/21,3.62
STORE_24,05/01/21,3.11
STORE_24,06/01/21,3.38
STORE_24,07/01/21,3.08
STORE_24,08/01/21,3.09
STORE_24,09/01/21,0
STORE_24,10/01/21,0
STORE_24,11/01/21,3.35
STORE_24,12/01/21,3.11
STORE_24,13/01/21,3.1
STORE_24,14/01/21,0
STORE_24,15/01/21,0
STORE_24,16/01/21,3.62
STORE_24,17/01/21,2.98
STORE_24,18/01/21,0
STORE_24,19/01/21,0
STORE_24,20/01/21,3.24
STORE_24,21/01/21,3.09
STORE_24,22/01/21,2.88
STORE_24,23/01/21,3.19
STORE_24,24/01/21,2.54
STORE_24,25/01/21,3.17
STORE_24,26/01/21,0
STORE_24,27/01/21,3.08
STORE_24,28/01/21,3.39
STORE_24,29/01/21,2.98
STORE_24,30/01/21,2.96
STORE_24,31/01/21,0
STORE_24,01/02/21,0
STORE_24,02/02/21,0
STORE_24,03/02/21,2.93
STORE_24,04/02/21,0
STORE_24,05/02/21,3.2
STORE_24,06/02/21,0
STORE_24,07/02/21,2.75
STORE_24,08/02/21,2.8
STORE_24,09/02/21,3.02
STORE_24,10/02/21,2.76
STORE_24,10/02/21,0
STORE_24,11/02/21,0
STORE_24,12/02/21,2.8
STORE_24,13/02/21,2.95
STORE_24,14/02/21,3.14
STORE_24,15/02/21,3.02
STORE_24,16/02/21,2.68
STORE_24,17/02/21,3.07
STORE_24,18/02/21,3.1
STORE_24,19/02/21,2.86
STORE_24,20/02/21,2.76
STORE_24,21/02/21,0
STORE_24,22/02/21,2.84
STORE_24,23/02/21,3.66
STORE_24,23/02/21,3.66
STORE_24,24/02/21,0
STORE_24,25/02/21,3.08
STORE_24,26/02/21,2.79
STORE_25,01/01/21,2.85
STORE_25,02/01/21,2.79
STORE_25,03/01/21,0
STORE_25,04/01/21,3.11
STORE_25,05/01/21,2.96
STORE_25,06/01/21,3.15
STORE_25,07/01/21,3.22
STORE_25,08/01/21,2.74
STORE_25,09/01/21,3.16
STORE_25,10/01/21,2.78
STORE_25,11/01/21,3.25
STORE_25,12/01/21,3.22
STORE_25,13/01/21,3.12
STORE_25,14/01/21,2.94
STORE_25,15/01/21,2.84
STORE_25,16/01/21,2.92
STORE_25,17/01/21,3.23
STORE_25,18/01/21,2.8
STORE_25,19/01/21,0
STORE_25,20/01/21,2.48
STORE_25,21/01/21,3.08
STORE_25,22/01/21,2.69
STORE_25,23/01/21,2.6
STORE_25,24/01/21,3.16
STORE_25,25/01/21,0
STORE_25,26/01/21,2.87
STORE_25,27/01/21,2.91
STORE_25,28/01/21,0
STORE_25,29/01/21,0
STORE_25,30/01/21,2.94
STORE_25,31/01/21,3.2
STORE_25,01/02/21,3.03
STORE_25,02/02/21,3.3
STORE_25,03/02/21,3.08
STORE_25,04/02/21,3.23
STORE_25,05/02/21,3.13
STORE_25,06/02/21,3.19
STORE_25,07/02/21,2.99
STORE_25,08/02/21,0
STORE_25,09/02/21,2.92
STORE_25,10/02/21,3.18
STORE_25,11/02/21,2.6
STORE_25,12/02/21,3.22
STORE_25,13/02/21,0
STORE_25,14/02/21,3.22
STORE_25,15/02/21,2.97
STORE_25,16/02/21,3.15
STORE_25,17/02/21,0
STORE_25,18/02/21,3.25
STORE_25,19/02/21,2.67
STORE_25,20/02/21,3.18
STORE_25,21/02/21,3.16
STORE_25,22/02/21,0
STORE_25,23/02/21,2.87
STORE_25,23/02/21,2.87
STORE_25,24/02/21,3.23
STORE_25,25/02/21,0
STORE_25,26/02/21,3.23
STORE_26,01/01/21,3.06
STORE_26,02/01/21,3.32
STORE_26,03/01/21,3.06
STORE_26,04/01/21,0
STORE_26,05/01/21,2.72
STORE_26,06/01/21,3.18
STORE_26,07/01/21,2.73
STORE_26,08/01/21,0
STORE_26,09/01/21,3.22
STORE_26,10/01/21,3.19
STORE_26,11/01/21,0
STORE_26,12/01/21,2.89
STORE_26,13/01/21,3.39
STORE_26,14/01/21,2.92
STORE_26,15/01/21,2.79
STORE_26,16/01/21,2.51
STORE_26,17/01/21,0
STORE_26,18/01/21,2.84
STORE_26,19/01/21,3.25
STORE_26,20/01/21,2.84
STORE_26,21/01/21,0
STORE_26,21/01/21,0
STORE_26,22/01/21,3.11
STORE_26,23/01/21,0
STORE_26,24/01/21,2.67
STORE_26,25/01/21,3.31
STORE_26,26/01/21,0
STORE_26,27/01/21,2.93
STORE_26,28/01/21,3.2
STORE_26,29/01/21,0
STORE_26,30/01/21,3.71
STORE_26,31/01/21,2.97
STORE_26,01/02/21,3.02
STORE_26,02/02/21,2.9
STORE_26,03/02/21,0
STORE_26,04/02/21,2.92
STORE_26,05/02/21,3.07
STORE_26,06/02/21,3.45
STORE_26,07/02/21,3.15
STORE_26,08/02/21,2.94
STORE_26,08/02/21,2.94
STORE_26,09/02/21,3.02
STORE_26,10/02/21,3.1
STORE_26,11/02/21,2.89
STORE_26,12/02/21,3.2
STORE_26,13/02/21,3.49
STORE_26,14/02/21,2.89
STORE_26,15/02/21,0
STORE_26,16/02/21,3.26
STORE_26,17/02/21,3.16
STORE_26,18/02/21,3.03
STORE_26,19/02/21,3.1
STORE_26,20/02/21,2.93
STORE_26,21/02/21,3.55
STORE_26,22/02/21,0
STORE_26,23/02/21,3.34
STORE_26,24/02/21,3.46
STORE_26,25/02/21,2.9
STORE_26,26/02/21,0
STORE_27,01/01/21,3.04
STORE_27,02/01/21,3.02
STORE_27,03/01/21,2.98
STORE_27,04/01/21,2.52
STORE_27,05/01/21,3.16
STORE_27,06/01/21,3.43
STORE_27,07/01/21,2.79
STORE_27,08/01/21,0
STORE_27,09/01/21,2.97
STORE_27,10/01/21,0
STORE_27,11/01/21,0
STORE_27,12/01/21,3.51
STORE_27,13/01/21,2.76
STORE_27,14/01/21,0
STORE_27,15/01/21,2.57
STORE_27,16/01/21,2.99
STORE_27,17/01/21,0
STORE_27,18/01/21,0
STORE_27,19/01/21,3.47
STORE_27,20/01/21,3.49
STORE_27,21/01/21,2.84
STORE_27,22/01/21,2.93
STORE_27,23/01/21,0
STORE_27,23/01/21,0
STORE_27,24/01/21,2.79
STORE_27,25/01/21,2.56
STORE_27,26/01/21,3.11
STORE_27,27/01/21,0
STORE_27,28/01/21,2.67
STORE_27,29/01/21,0
STORE_27,30/01/21,2.64
STORE_27,31/01/21,3.09
STORE_27,01/02/21,3.09
STORE_27,02/02/21,2.91
STORE_27,03/02/21,2.78
STORE_27,04/02/21,2.6
STORE_27,05/02/21,3.17
STORE_27,06/02/21,3.07
STORE_27,07/02/21,3.14
STORE_27,08/02/21,2.91
STORE_27,09/02/21,0
STORE_27,10/02/21,3.43
STORE_27,11/02/21,2.82
STORE_27,12/02/21,0
STORE_27,13/02/21,0
STORE_27,14/02/21,3.09
STORE_27,15/02/21,2.39
STORE_27,16/02/21,0
STORE_27,17/02/21,2.8
STORE_27,18/02/21,3.27
STORE_27,19/02/21,0
STORE_27,20/02/21,3.16
STORE_27,21/02/21,0
STORE_27,22/02/21,2.71
STORE_27,23/02/21,0
STORE_27,24/02/21,2.72
STORE_27,25/02/21,3.28
STORE_27,26/02/21,2.85
STORE_28,01/01/21,3.08
STORE_28,02/01/21,2.44
STORE_28,03/01/21,2.6
STORE_28,04/01/21,3.33
STORE_28,05/01/21,3.21
STORE_28,06/01/21,2.63
STORE_28,07/01/21,3.39
STORE_28,08/01/21,2.67
STORE_28,09/01/21,3.01
STORE_28,10/01/21,2.86
STORE_28,11/01/21,2.72
STORE_28,12/01/21,3.35
STORE_28,13/01/21,3.51
STORE_28,14/01/21,0
STORE_28,15/01/21,3.46
STORE_28,16/01/21,2.92
STORE_28,17/01/21,3.03
STORE_28,18/01/21,3.04
STORE_28,19/01/21,2.65
STORE_28,20/01/21,3.15
STORE_28,21/01/21,3.21
STORE_28,22/01/21,2.95
STORE_28,23/01/21,2.49
STORE_28,24/01/21,0
STORE_28,25/01/21,2.55
STORE_28,26/01/21,2.76
STORE_28,27/01/21,3.04
STORE_28,28/01/21,0
STORE_28,29/01/21,3.08
STORE_28,30/01/21,0
STORE_28,31/01/21,2.51
STORE_28,01/02/21,0
STORE_28,02/02/21,3.18
STORE_28,03/02/21,0
STORE_28,04/02/21,2.89
STORE_28,05/02/21,2.98
STORE_28,06/02/21,0
STORE_28,07/02/21,3.59
STORE_28,08/02/21,3.45
