household_id,store_id,date,target_sales_volume,competitor_sales_volume
1,3,29/01/21,0,0
1,4,21/01/21,0,4.54
1,9,01/01/21,0,3.55
1,9,23/02/21,0,5.1
1,12,03/01/21,0,0
1,14,17/01/21,0,0
1,14,20/01/21,0,0
1,15,10/01/21,0,0
1,15,10/02/21,0,4.72
1,16,25/01/21,0,0
1,16,01/02/21,0,2.5
1,18,21/01/21,0,3.6
1,18,26/02/21,0,0
1,22,20/02/21,0,3.97
1,23,04/02/21,0,4.79
1,26,08/01/21,0,2.87
1,33,24/02/21,0,2.82
1,34,09/01/21,0,3.56
1,35,24/02/21,0,4.54
1,38,23/01/21,0,0
1,41,24/01/21,0,0
1,45,26/02/21,0,0
1,46,28/01/21,0,3.53
1,48,11/02/21,0,5.6
1,49,08/01/21,0,3.53
1,49,12/02/21,0,2.33
1,59,04/01/21,0,0
1,67,19/01/21,0,1.57
1,68,02/02/21,0,3.69
1,70,31/01/21,0,5.41
1,75,22/02/21,0,0
1,76,24/01/21,0,0
1,77,11/01/21,0,3.06
1,77,19/02/21,0,0
1,83,27/01/21,0,0
1,83,06/02/21,0,4.87
1,83,20/02/21,0,0
1,85,16/01/21,0,3.38
1,86,12/01/21,0,0
1,87,28/01/21,0,0
1,87,18/02/21,0,0
1,90,06/01/21,0,4.45
1,91,23/02/21,0,0
1,92,01/01/21,0,0
1,95,22/02/21,0,0
1,96,14/02/21,0,7.76
1,98,08/01/21,0,0
1,98,21/02/21,0,2.79
1,99,28/01/21,0,3.58
2,3,20/02/21,6.85,3.22
2,4,08/01/21,4.92,4.46
2,4,09/01/21,5.49,0
2,12,17/02/21,4.24,4.1
2,12,19/02/21,0,2.35
2,14,10/01/21,3.86,0
2,14,11/02/21,0,3.12
2,16,21/02/21,5.68,0
2,18,19/01/21,4.8,5.66
2,18,13/02/21,3.9,0
2,22,20/01/21,4.83,2.2
2,24,08/01/21,5.78,0
2,25,17/01/21,0,3.34
2,30,17/01/21,0,1.82
2,31,26/02/21,5.41,0
2,32,16/02/21,5.37,0
2,33,18/02/21,0,4.02
2,36,25/01/21,4.83,0
2,43,03/01/21,5.29,0
2,43,03/02/21,5.37,0
2,44,15/01/21,4.26,0
2,45,15/01/21,5.21,0
2,46,23/02/21,5.6,0
2,47,23/02/21,5.1,0
2,51,14/02/21,0,3.82
2,54,03/01/21,4.4,0
2,54,11/02/21,4.29,1.76
2,55,19/02/21,6.16,0
2,55,23/02/21,4.95,2.25
2,56,20/01/21,5.21,3.92
2,57,09/01/21,0,4.39
2,58,12/01/21,0,2.37
2,62,18/01/21,6.04,0
2,65,31/01/21,5.59,6.27
2,69,30/01/21,6.06,0
2,70,11/01/21,0,2.85
2,70,22/01/21,5.03,2.99
